tweet_id,tweet,true_sentiment,sentiment_zero_shot_raw,sentiment_zero_shot_pred,sentiment_zero_shot_correct,sentiment_few_shot_raw,sentiment_few_shot_pred,sentiment_few_shot_correct,weak_topic_label,topic_zero_shot_raw,topic_zero_shot_pred,topic_zero_shot_correct,topic_system_role_raw,topic_system_role_pred,topic_system_role_correct,entity_zero_shot_raw,entity_structured_raw,entity_structured_json_valid,entity_structured_players,entity_structured_teams,entity_structured_venues
11,Could we have an 🇦🇷 Argentina vs England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 final? It’s definitely a possibility! Shades of 86! Just imagine @TeamMessi doing a #Maradona! 😀 #FIFAWorldCup #WorldCup2022 #Qatar2022,positive,positive,positive,1,"Positive.

The tweet expresses excitement and optimism about the possibility of Argentina vs England in the final, referencing a past match (the 1986 World Cup) and a famous player (Maradona), with enthusiastic language and emojis.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* Lionel Messi (as @TeamMessi)
	* Maradona
2. Team/country names:
	* Argentina (🇦🇷)
	* England (🏴󠁧󠁢󠁥󠁮󠁧󠁿)
3. Venue:
	* Qatar (implied by the mention of ""Qatar2022"", but not a specific venue)","{""players"": [""@TeamMessi""], ""teams"": [""Argentina"", ""England""], ""venues"": []}",1,"[""@TeamMessi""]","[""Argentina"", ""England""]",[]
12,"1. No European Champions 2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more 3. Ronaldo, Messi past their prime 4. No footballing heritage in Qatar 5. Restrictions on fans Most boring World Cup ??? #FIFAWorldCup #Qatar2022 #WorldCup2022",negative,Negative,negative,1,"Based on the tweet's content, I would classify its sentiment as:

negative

The user is expressing frustration and disappointment with various aspects of the World Cup, including the lack of top European players, the perceived decline in quality of the game, and restrictions on fans. The use of exclamation marks and hashtags like ""#Most boring World Cup"" also convey a strong negative tone.",negative,1,Match Play,Referees,Referees,0,'Match Play',Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Benzema
2. Kante
3. Pogba
4. Mane
5. Werner
6. Reece James
7. Chilwell
8. Jota
9. Ronaldo
10. Messi

**Team/Country Names:**

1. Qatar (country)
2. France (team, implied by Kante and Pogba)

**Venues:**

 None mentioned in the tweet.

Note that some of these entities may be related to teams or countries, but not explicitly mentioned as venues.","{""players"": [""Benzema"", ""Kante"", ""Pogba"", ""Mane"", ""Werner"", ""Reece James"", ""Chilwell"", ""Jota""], ""teams"": [], ""venues"": []}",1,"[""Benzema"", ""Kante"", ""Pogba"", ""Mane"", ""Werner"", ""Reece James"", ""Chilwell"", ""Jota""]",[],[]
13,My 2022 WORLD CUP PREDICTIONS Group A Senegal 🇸🇳 Ecuador 🇪🇨 Netherlands 🇳🇱 Qatar 🇶🇦 Group B England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 USA 🇺🇸 Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Iran 🇮🇷 Group C Poland 🇵🇱 Argentina 🇦🇷 Mexico 🇲🇽 Saudi Arabia 🇸🇦 Group D France 🇫🇷 Denmark 🇩🇰 Australia 🇦🇺 Tunisia 🇹🇳 #WorldCup2022 #WorldCup,neutral,Neutral,neutral,1,"The sentiment of the tweet is neutral. The tweet appears to be a prediction or forecast for the 2022 World Cup, and it does not express any emotions or opinions about the tournament itself. It simply lists teams in different groups without any evaluative language.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Senegal
2. Ecuador
3. Netherlands
4. Qatar
5. England
6. USA
7. Wales
8. Iran
9. Poland
10. Argentina
11. Mexico
12. Saudi Arabia
13. France
14. Denmark
15. Australia
16. Tunisia

**Venues:** None mentioned in this tweet.","{""players"": [], ""teams"": [""Senegal"", ""Ecuador"", ""Netherlands"", ""Qatar"", ""England"", ""USA"", ""Wales"", ""Iran"", ""Poland"", ""Argentina"", ""Mexico"", ""Saudi Arabia"", ""France"", ""Denmark"", ""Australia"", ""Tunisia""], ""venues"": []}",1,[],"[""Senegal"", ""Ecuador"", ""Netherlands"", ""Qatar"", ""England"", ""USA"", ""Wales"", ""Iran"", ""Poland"", ""Argentina"", ""Mexico"", ""Saudi Arabia"", ""France"", ""Denmark"", ""Australia"", ""Tunisia""]",[]
14,So- the World Cup is here! What’s the first World Cup you remember watching? I remember Mexico 86 🇲🇽-especially the England Vs Argentina game 🖐️ You? ⚽️ #WorldCup2022,positive,Neutral,neutral,0,"Positive.

The tweet expresses excitement and nostalgia for the World Cup, mentioning a memorable match from their past. The tone is enthusiastic and engaging, indicating a positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned directly, but the teams mentioned have notable players.
2. Team/country names:
	* Mexico
	* England
	* Argentina
3. Venue: 
	* None mentioned in this tweet (the World Cup is a global tournament with multiple venues)","{""players"": [""England"", ""Argentina""], ""teams"": [""Mexico"", ""England"", ""Argentina""], ""venues"": []}",1,"[""England"", ""Argentina""]","[""Mexico"", ""England"", ""Argentina""]",[]
15,Most ill disciplined teams leading into #WorldCup2022? Top 5 🇪🇨Ecuador (avg 2.46 cards per game) 🏴󠁧󠁢󠁷󠁬󠁳󠁿Wales (avg 2.38) 🇵🇱Poland (avg 2.38) 🇦🇷Argentina (avg 2.29) 🇧🇷Brazil (avg 2.13) #betting #freetips,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as neutral.

The tweet is providing factual information about the average number of cards per game for various teams leading into the World Cup, without expressing any opinion or emotion. It's a data-driven statement that doesn't convey a positive or negative tone.",positive,0,Match Play,Match Play,Match Play,1,Referees,Referees,0,"Here are the extracted named entities:

1. Player names: None mentioned in this tweet.
2. Team/country names:
   - Ecuador
   - Wales
   - Poland
   - Argentina
   - Brazil

3. Venue: None mentioned in this tweet.","{""players"": [], ""teams"": [""Ecuador"", ""Wales"", ""Poland"", ""Argentina"", ""Brazil""], ""venues"": []}",1,[],"[""Ecuador"", ""Wales"", ""Poland"", ""Argentina"", ""Brazil""]",[]
16,World Cup 2022 Prediction Semi finalists Argentina Senegal Uruguay Spain Winner Argentina Golden Boot Argentinian Dark Horse Denmark Surprise Group Stage Exit Portugal/Belgium Source: Ochot-Odong Palm Readers Association [OPRAH] #WorldCup2022 #FIFAWorldCup,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

Negative

The tone of the tweet is sarcastic and mocking, implying that the World Cup prediction source (OPRAH) is not credible or trustworthy. The use of phrases like ""Ochot-Odong Palm Readers Association"" and ""[OPRAH]"" also adds to the negative connotation, suggesting that the information provided is likely to be inaccurate or unreliable.",negative,0,Match Play,Logistics/Hosting,Logistics/Hosting,0,Logistics/Hosting,Logistics/Hosting,0,"Here are the extracted named entities:

1. Player Names:
	* None mentioned in this tweet.
2. Team/Country Names:
	* Argentina
	* Senegal
	* Uruguay
	* Spain
	* Denmark
	* Portugal
	* Belgium
3. Venues: 
	* None mentioned in this tweet.","{""players"": [], ""teams"": [""Argentina"", ""Senegal"", ""Uruguay"", ""Spain"", ""Denmark""], ""venues"": []}",1,[],"[""Argentina"", ""Senegal"", ""Uruguay"", ""Spain"", ""Denmark""]",[]
17,"🇶🇦 #FIFAWorldCupQatar2022, who will be crowned 🏆 Champion - Argentina 🥈 Second - Belgium 🥉 Third - Netherlands 🏅 Best Player - Lionel Messi ⚽️ Top Scorer - Romero Lukaku 🧤 Best Goalkeeper - Alison Becker 🏵️ Best Young Player - Pedri Mine 👆 Drop yours 👇 #WorldCup2022",neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

positive

Although the tweet mentions several teams and players in a ranking format, which could be seen as neutral or objective, the overall tone of the message is enthusiastic and celebratory. The use of emojis (e.g., 🏆, ⚽️) and hashtags (#WorldCup2022) also convey excitement and positivity.",positive,0,Match Play,Match Play,Match Play,1,Match Play.,Match Play,1,"Here are the extracted named entities:

1. Players:
	* Lionel Messi
	* Romero Lukaku
	* Alison Becker
	* Pedri Mine
2. Teams/Countries:
	* Argentina
	* Belgium
	* Netherlands
3. Venue:
	* Qatar (implied, as it's mentioned in the hashtag #FIFAWorldCupQatar2022)","{""players"": [""Lionel Messi"", ""Romero Lukaku"", ""Alison Becker"", ""Pedri Mine""], ""teams"": [""Argentina"", ""Belgium"", ""Netherlands""], ""venues"": []}",1,"[""Lionel Messi"", ""Romero Lukaku"", ""Alison Becker"", ""Pedri Mine""]","[""Argentina"", ""Belgium"", ""Netherlands""]",[]
18,2 things start today our new online booking for our Christmas camps and the #WorldCup2022 Can't wait to see you all #christmas #camps #activekidsarehappykids #football #dodgeball #nerf #norfolk #kane #mbappe #messi #ronaldo,positive,Neutral,neutral,0,"The sentiment of this tweet is positive. Although it mentions a few unrelated topics (Christmas camps, dodgeball, and specific football players), the overall tone is enthusiastic and excited about the World Cup 2022. The use of hashtags like ""#activekidsarehappykids"" and ""#football"" also contributes to the positive sentiment.",positive,1,Match Play,Logistics/Hosting,Logistics/Hosting,0,Logistics/Hosting,Logistics/Hosting,0,"Here are the extracted named entities:

1. Player names:
	* Kane (presumably Harry Kane, but first name not specified)
	* Mbappe (Kylian Mbappé)
	* Messi (Lionel Messi)
	* Ronaldo (Cristiano Ronaldo)

2. Team/country names:
	* None explicitly mentioned

3. Venue:
	* Norfolk","{""players"": [""Kane"", ""Mbappe"", ""Messi"", ""Ronaldo""], ""teams"": [], ""venues"": []}",1,"[""Kane"", ""Mbappe"", ""Messi"", ""Ronaldo""]",[],[]
19,"4 years of waiting to see the 50th and 44th best teams in the world play in mid November. #FIFAWorldCup I feel ………… “disappointed” @FIFAcom #WorldCup2022 Argentina, Brazil, Germany, Portugal and Spain must be thinking they have a real chance here to win it outright.",negative,negative,negative,1,"Based on the tweet's content, I would classify its sentiment as:

Negative

Although the author is expressing excitement about the World Cup, their tone is one of disappointment and frustration with the tournament format. The use of phrases like ""ruined the match"" and ""disappointed"" convey a negative emotional state.",negative,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Argentina
	* Brazil
	* Germany
	* Portugal
	* Spain
3. Venue:
	* None mentioned in this tweet (the FIFA World Cup is a global tournament, but the specific venue is not specified).","{""players"": [""Argentina"", ""Brazil"", ""Germany"", ""Portugal"", ""Spain""], ""teams"": [""Argentina"", ""Brazil"", ""Germany"", ""Portugal"", ""Spain""], ""venues"": []}",1,"[""Argentina"", ""Brazil"", ""Germany"", ""Portugal"", ""Spain""]","[""Argentina"", ""Brazil"", ""Germany"", ""Portugal"", ""Spain""]",[]
20,"Expect a strong challenge from the South America favourites at the World Cup. Combined them for a series of name the finalists bets. Gone for Argentina v Spain at 40/1, Argentina v Germany (40), Brazil v Spain (33) and Brazil v Germany (33) #WorldCup2022 #WorldCup #FIFAWorldCup",positive,Neutral,neutral,0,"Based on the tweet's content, I would classify its sentiment as:

Neutral

The tweet is providing factual information about upcoming World Cup matches and odds, without expressing any emotions or opinions. It appears to be a neutral, informative post from a sports fan.",neutral,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Argentina
2. Spain
3. Brazil
4. Germany

**Venues:** None mentioned in this tweet.","{""players"": [""Argentina"", ""Spain"", ""Germany"", ""Brazil""], ""teams"": [""Argentina"", ""Spain"", ""Germany"", ""Brazil""], ""venues"": []}",1,"[""Argentina"", ""Spain"", ""Germany"", ""Brazil""]","[""Argentina"", ""Spain"", ""Germany"", ""Brazil""]",[]
21,"#WorldCup2022 complete guesses Champ: Brazil Golden Boot: Darwin Nuñez Group A: Netherlands, Senegal B: England, USA C: Argentina, Poland D: France, Denmark E: Germany, Spain F: Belgium, Canada G: Brazil, Switzerland H: Uruguay, Portugal",neutral,Neutral,neutral,1,"Based on the tweets provided:

1. ""What a goal! Best World Cup ever!"" - Positive
2. ""This referee is a disgrace, ruined the match."" - Negative
3. ""The match starts at 18:00 local time."" - Neutral
4. ""#WorldCup2022 complete guesses Champ: Brazil Golden Boot: Darwin Nuñez Group A: Netherlands, Senegal B: England, USA C: Argentina, Poland D: France, Denmark E: Germany, Spain F: Belgium, Canada G: Brazil, Switzerland H: Uruguay, Portugal"" - Neutral (This is a list of predictions or guesses, it doesn't express any emotion or opinion)",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Netherlands
2. Senegal
3. England
4. USA
5. Argentina
6. Poland
7. France
8. Denmark
9. Germany
10. Spain
11. Belgium
12. Canada
13. Brazil
14. Switzerland
15. Uruguay
16. Portugal

**Venues:** None mentioned in this tweet.","{""players"": [], ""teams"": [""Netherlands"", ""Senegal"", ""England"", ""USA"", ""Argentina"", ""Poland"", ""France"", ""Denmark"", ""Germany"", ""Spain"", ""Belgium"", ""Canada"", ""Brazil"", ""Switzerland"", ""Uruguay"", ""Portugal""], ""venues"": []}",1,[],"[""Netherlands"", ""Senegal"", ""England"", ""USA"", ""Argentina"", ""Poland"", ""France"", ""Denmark"", ""Germany"", ""Spain"", ""Belgium"", ""Canada"", ""Brazil"", ""Switzerland"", ""Uruguay"", ""Portugal""]",[]
22,"Finally the World Cup is here !!!! Not the most exciting game to get things started, but I'll take it !!! Let's hope it's a decent tournament with a lot of good Football !!! #WorldCup #QatarWorldCup2022 #WorldCup2022 #Messi #Neymar #Mbappe #Argentina #Brazil",positive,Positive,positive,1,"The sentiment of the tweet is: positive

Although the author mentions that it's not the most exciting game to start with, they express enthusiasm and optimism about the tournament as a whole. The use of exclamation marks and hashtags like ""#WorldCup"" and ""#Football"" also convey a sense of excitement and positivity.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* Messi (Lionel Messi)
	* Neymar
	* Mbappe (Kylian Mbappé)

2. Team/Country Names:
	* Argentina
	* Brazil

3. Venue:
	* Qatar (referring to the host country of the 2022 FIFA World Cup)","{""players"": [""Messi"", ""Neymar"", ""Mbappe""], ""teams"": [""Argentina"", ""Brazil""], ""venues"": []}",1,"[""Messi"", ""Neymar"", ""Mbappe""]","[""Argentina"", ""Brazil""]",[]
23,World Cup - Group A Ecuador Netherlands Qatar Senegal Today's match - Qatar vs Ecuador Tomorrow's match - Netherlands vs Senegal #worldcup2022,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as:

Neutral

The tweet is simply providing information about the World Cup schedule and does not express any opinion or emotion. It is a factual statement without any positive or negative tone.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Ecuador
2. Netherlands
3. Qatar
4. Senegal

**Venues:** None mentioned in this tweet, but it's implied that the matches will be played at a World Cup venue (not specified).","{""players"": [""Ecuador"", ""Netherlands"", ""Qatar"", ""Senegal""], ""teams"": [""Ecuador"", ""Netherlands"", ""Qatar"", ""Senegal""], ""venues"": []}",1,"[""Ecuador"", ""Netherlands"", ""Qatar"", ""Senegal""]","[""Ecuador"", ""Netherlands"", ""Qatar"", ""Senegal""]",[]
24,"Backed Lionel Messi at 12/1 to finish top goalscorer at the World Cup. Also on Neymar at 12/1. Messi looks ready to lead Argentina's challenge in a weak group and Neymar, who has Pele's record in sight, will be the focal point of Brazil's attack #FifaWorldCup #WorldCup2022",positive,positive,positive,1,"Based on the tweet content, I would classify its sentiment as:

positive

Although the tweet mentions a ""weak group"" and references a rival player (Neymar), the overall tone is optimistic and enthusiastic about the potential of Lionel Messi and Neymar to perform well in the World Cup. The use of phrases like ""looks ready to lead Argentina's challenge"" and ""#FifaWorldCup #WorldCup2022"" also convey a positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Lionel Messi
2. Neymar
3. Pele

**Team/Country Names:**

1. Argentina
2. Brazil

**Venues:**
None mentioned in this tweet (it's likely referring to a general venue, but no specific one is mentioned)","{""players"": [""Lionel Messi"", ""Neymar""], ""teams"": [""Argentina"", ""Brazil""], ""venues"": []}",1,"[""Lionel Messi"", ""Neymar""]","[""Argentina"", ""Brazil""]",[]
25,"France has adopted a different approach to the #WorldCup2022 in #Qatar than most of its European rivals. While the likes of England, Denmark and Germany will virtue signal their disapproval on various issues, France is set to remain silent...",neutral,Negative,negative,0,"Based on the tweet's content, I would classify the sentiment as neutral.

The tweet provides factual information about France's approach to the World Cup in Qatar, without expressing a personal opinion or emotion. It presents a neutral observation of the situation, without taking a stance or using emotive language.",neutral,1,Referees,Referees,Referees,1,Match Play,Match Play,0,"Here are the extracted named entities:

1. Player names: None
2. Team/country names:
	* France
	* England
	* Denmark
	* Germany
3. Venue: Qatar (specifically, the #WorldCup2022 in Qatar)","{""players"": [], ""teams"": [""England"", ""Denmark"", ""Germany""], ""venues"": []}",1,[],"[""England"", ""Denmark"", ""Germany""]",[]
26,"Is about time, supporting all African countries.. Spain 🇪🇸 Brazil 🇧🇷 Croatia 🇭🇷 And Belgium 🇧🇪 Let's go.. #WorldCup #WorldCup2022",positive,Positive,positive,1,"Positive.

The tweet expresses enthusiasm and support for the World Cup, mentioning specific countries and using a celebratory tone. The use of ""Let's go"" also adds to the positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names: None
2. Team/country names:
	* Spain
	* Brazil
	* Croatia
	* Belgium
3. Venue: None (mentioned in the tweet, but no specific venue is mentioned)","{""players"": [], ""teams"": [""Spain"", ""Brazil"", ""Croatia"", ""Belgium""], ""venues"": []}",1,[],"[""Spain"", ""Brazil"", ""Croatia"", ""Belgium""]",[]
