tweet_id,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment
21,2022-11-20 10:52:14+00:00,0,Twitter for iPhone,"#WorldCup2022 complete guesses Champ: Brazil Golden Boot: Darwin Nuñez Group A: Netherlands, Senegal B: England, USA C: Argentina, Poland D: France, Denmark E: Germany, Spain F: Belgium, Canada G: Brazil, Switzerland H: Uruguay, Portugal",neutral
22,2022-11-20 11:12:14+00:00,15,Twitter for Android,"Finally the World Cup is here !!!! Not the most exciting game to get things started, but I'll take it !!! Let's hope it's a decent tournament with a lot of good Football !!! #WorldCup #QatarWorldCup2022 #WorldCup2022 #Messi #Neymar #Mbappe #Argentina #Brazil",positive
23,2022-11-20 11:14:22+00:00,2,Twitter for Android,World Cup - Group A Ecuador Netherlands Qatar Senegal Today's match - Qatar vs Ecuador Tomorrow's match - Netherlands vs Senegal #worldcup2022,neutral
24,2022-11-20 11:31:12+00:00,0,Twitter Web App,"Backed Lionel Messi at 12/1 to finish top goalscorer at the World Cup. Also on Neymar at 12/1. Messi looks ready to lead Argentina's challenge in a weak group and Neymar, who has Pele's record in sight, will be the focal point of Brazil's attack #FifaWorldCup #WorldCup2022",positive
25,2022-11-20 11:37:03+00:00,2,Twitter Web App,"France has adopted a different approach to the #WorldCup2022 in #Qatar than most of its European rivals. While the likes of England, Denmark and Germany will virtue signal their disapproval on various issues, France is set to remain silent...",neutral
26,2022-11-20 11:57:47+00:00,0,Twitter for Android,"Is about time, supporting all African countries.. Spain 🇪🇸 Brazil 🇧🇷 Croatia 🇭🇷 And Belgium 🇧🇪 Let's go.. #WorldCup #WorldCup2022",positive
27,2022-11-20 12:23:38+00:00,18,Twitter for iPhone,"So here are my #WorldCup2022 hot takes; I’m no longer backing #Argentina, but instead Uruguay, #England to reach the semis, @BukayoSaka87 to be the breakout star, #Belgium to not get out the group, Nunez, golden boot winner #WorldCup #QatarWorldCup2022",neutral
28,2022-11-20 12:27:26+00:00,0,Twitter Web App,The long wait is over ⌛️ The FIFA World Cup 2022 begins today with the opening clash between the host Qatar and Ecuador 🤩 #fifaworldcup #cristianoronaldo #lionelmessi #BetBarter #WorldCup2022,positive
29,2022-11-20 12:30:16+00:00,1,Twitter for iPhone,"My World Cup prediction (thread).. Group winners GA: Netherlands🇳🇱, Senegal🇸🇳 GB: England🏴󠁧󠁢󠁥󠁮󠁧󠁿, USA🇺🇸 GC: Argentina🇦🇷, Mexico🇲🇽 GD: France🇫🇷, Denmark🇩🇰 GE: Spain🇪🇸, Germany🇩🇪 GF: Belgium🇧🇪, Croatia🇭🇷 GG: Brazil🇧🇷, Serbia🇷🇸 GH: Uruguay🇺🇾 , Portugal🇵🇹 #WorldCup2022",neutral
30,2022-11-20 12:30:22+00:00,4,Twitter for iPhone,My Sweepstake Picks: Family: 1. Portugal 🇵🇹 2. Spain 🇪🇸 3. Netherlands 🇳🇱 4. Morocco 🇲🇦 5. Costa Rica 🇨🇷 6. Senegal 🇸🇳 Friends: 1. Portugal 🇵🇹 2. Switzerland 🇨🇭 3. Senegal 🇸🇳 4. Cameroon 🇨🇲 5. Iran 🇮🇷 Looks like I want a Portugal v Senegal final 😂 #WorldCup2022,neutral
31,2022-11-20 12:44:34+00:00,3,Twitter for Android,"Supporting mainly England for saka/white &amp; Brazil for martinelli/jesus. Also Portugal on the side for Ronaldo. Neutral but excited to watch france, Germany, Argentina, japan, etc. Let's get this world cup rolling boys!!!! Let's have fun and banter #WorldCup2022",positive
32,2022-11-20 13:11:57+00:00,0,Twitter for Android,My world cup predictions #WorldCup2022 #Qatar2022 #WorldCup Winners: Brazil 🔥 Player of the Tournament: Neymar 💫 YPOT: Gavi ❌ Under-performers: France 🐎 Dark horse: Denmark/Uruguay 🎯Most assists: Neymar ⚽️ Top Scorer: lautaro martinez 🌟Breakout star: Enzo Fernandez,positive
33,2022-11-20 13:14:54+00:00,0,Twitter Web App,#WorldCup #Worldcup2022 #worldcup2022qatar predictions: 🏅 Winner: Uruguay🇺🇾 🔥 Player of the Tournament: @Darwinn99 💫 Young Player of the Tournament: Darwin Nunez 😬 Big team that doesn't make it out of the group stage: England 🐎 Dark horse: Netherlands 🇳🇱,neutral
34,2022-11-20 13:37:36+00:00,0,Twitter for Android,Belgium Brazil Cameroon Croatia Germany My #WorldCup2022 teams. #FIFAWorldCup,neutral
35,2022-11-20 13:38:28+00:00,15,Twitter for iPhone,Last floor check for @FIFAPlusCollect before the #WorldCup starts! ICONICS France $7500 ($2700 avg; 2 sales) Brazil M $1999 ($2468; 27) Brazil W $1950 (9 minted) Colombia $1950 (4 minted) USA $1555 ($1961; 25) Argentina N/A ($2700; 2) #algofam #NFT #WorldCup2022,neutral
36,2022-11-20 13:52:47+00:00,2,Twitter Web App,Two kings. One Champ. Let's Go!!! Sign up Preciser to check opening Game prediction! Check more! Win more! #FIFAWorldCup #WorldCup2022 #Qatar #Ecuador #Messi,positive
37,2022-11-20 14:00:02+00:00,2,Twitter Web App,Late FIFA 2022 World Cup predictions #Messi and friends take home the trophy after ending runs from England and Germany. Mexico surprises France in the 1st round and Croatia sends Spain packing after penalties. #WorldCup #WorldCup2022 #QatarWorldCup2022,neutral
38,2022-11-20 14:03:15+00:00,0,Twitter for Android,#WorldCup2022 #WorldcupQatar2022 Heart says Argentina but I think it's Brazil for the win. Argentina v Portugal 🔥 final will be great marketing.,positive
39,2022-11-20 14:08:00+00:00,878,Twitter Web App,"Enjoy #WorldCup2022 with TopGoal Predict Match Results, Split Jackpot 🎲Predict Winning team, draw 2 with 50TMT 🎲Predict Score, draw 2 with 50TMT 🎲Predict Winning team+Score, draw 1 with 100TMT 1⃣Follow + Like + RT 2⃣Comment ⚒️Round1: Qatar vs Ecuador ⏰DDL: End of match",positive
40,2022-11-20 14:21:48+00:00,0,Twitter Web App,#WorldCup2022 predictions Winner: Brazil Golden Boot: Harry Kane Golden Ball: Messi Young Player: Musiala Dark Horses: Uruguay Disappointing Team: England,neutral
41,2022-11-20 14:52:49+00:00,4,Twitter for iPhone,The World Cup starts today ⚽️ My teams to watch to win it all: England USA Argentina Portugal #WorldCup2022,positive
42,2022-11-20 14:54:29+00:00,5,Twitter for Android,"Original pick was France to win the World Cup, given the Benzema news I've now changed to the Samba Boys of Brazil. Still sticking with Mbappe as the tournaments top Goal Scorer #WorldCup2022 ⚽️",positive
43,2022-11-20 15:18:22+00:00,0,Twitter for iPhone,My #WorldCup2022 rooting interests 1. USA 🇺🇸 2. South Korea 🇰🇷 3. Brazil 🇧🇷 4. Argentina 🇦🇷 5. Uruguay 🇺🇾 Will update after the group stages,neutral
44,2022-11-20 15:25:06+00:00,0,Twitter for iPhone,Cameroon 🇨🇲 USA 🇺🇸 Brazil 🇧🇷 England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Japan 🇯🇵 Ghana 🇬🇭 Switzerland 🇨🇭 France 🇫🇷 (Cuz of Saliba) #WorldCup2022,neutral
45,2022-11-20 15:35:53+00:00,5,Hootsuite Inc.,"Ecuador arrive as South America’s fourth-placed qualifier but are not close to the levels of Brazil, Argentina or Uruguay and, arguably, are not even the fourth-best CONMEBOL team. #WorldCup2022 #FIFAWorldCupQatar2022",negative
46,2022-11-20 15:41:11+00:00,0,Twitter Web App,"FIFA 2022 Brazil, Argentina, Germany, Portugal or current champion France ? Or is it going to be a great year for ENGLAND with 2 World cups ? #FIFAWorldCup #FIFAWorldCup2022 #FIFA #WorldCup2022 #Brazilian #England #Argentina #Portugal #Germany #France",positive
47,2022-11-20 15:43:31+00:00,0,Twitter for Android,I'm predicting another Germany v Brazil World Cup final with Germany to win. As much as I wish the USA would win one... they aren't ready yet. I'd love a good turn of events throwing away all tournament brackets. #WorldCup2022 #Germany #Brazil #QatarWorldCup2022 #sports,neutral
48,2022-11-20 15:44:55+00:00,11,Twitter Web App,Most Goals scored by Countries at FIFA World Cup from 1930-2018. Brazil 🇧🇷 has scored the most goals in the history of the FIFA World Cups followed by Germany 🇩🇪 and Argentina 🇦🇷 #WorldCup2022 #Qatar2022 #football #FIFAWorldCup #FIFAWorldCup2022 #WakaWaka #brazil #Argentina,positive
49,2022-11-20 16:08:46+00:00,2,Twitter for Android,VAR strikes already. Summat dodgy going on⚽ #QatarWorldCup2022 #EcuadorvsQatar #WorldCup2022,negative
50,2022-11-20 16:09:01+00:00,2,Twitter for iPhone,So now as you’ve seen #QATAR control #VAR 🤣🤣🤣🤣 Offside? No Foul? No Hang on we’ve conceded early let’s start again 🤣🤣🤣🤣🤣 #WorldCup2022,negative
51,2022-11-20 16:09:32+00:00,1,Twitter for iPad,Good to see VAR as useless at #WorldCup2022 as premier. That goal should have stood for Ecuador. Wonder if anyone allowed to score against Qatar 🤷‍♂️,negative
52,2022-11-20 16:09:50+00:00,407,Twitter Web App,VAR officials increased to SEVEN per game for this World Cup. They've disallowed the Ecuador's opening 'goal'. Nothing to see here. #WorldCup2022 #Qatar2022,negative
53,2022-11-20 16:10:07+00:00,3,Twitter for iPhone,Already this World Cup with some BS. That was a legit gol. No offsides and no foul against the goalie. 🤦🏽‍♂️#EcuadorvsQatar #WorldCup2022,negative
54,2022-11-20 16:10:27+00:00,4,Twitter for iPhone,Absolute rubbish!! Valencia was never off!! Are we really going to sit here and pretend that this Cup is not fixed!?!! VAR is used to CHEAT! #EcuadorvsQatar #WorldCup2022,negative
55,2022-11-20 16:10:53+00:00,0,Twitter for iPhone,@elonmusk Controversy already! Has the VAR referee been paid off? There is no way that goal was offside #WorldCup2022 #EcuadorvsQatar,negative
56,2022-11-20 16:10:56+00:00,0,Twitter for Android,"2mins They Have Scored Qatar, and they cancelled the Goal from Ecuador... VAR this is not the way forward... FIFA | #WorldCup2022 #FIFAWorldCup",negative
57,2022-11-20 16:11:40+00:00,6,Twitter Web App,Goal disallowed by VAR ! Ecuador captain Valencia scores and then disallowed #WorldCup2022 #Qatar2022,negative
58,2022-11-20 16:11:49+00:00,0,Twitter for iPhone,Shocking VAR decision in #WorldCup2022. #Ecuador goal disallowed? Why? I hope this World Cup isn’t ruined by dodgy refereeing decisions.,negative
59,2022-11-20 16:12:13+00:00,1,Twitter for iPhone,"This World Cup is corrupt even more now, so it’s #QATECU Equador score a perfectly ON SIDE goal 3 mins in to the opening game and it goes to VAR and marked officially as offside so it’s now 0-0 again, and now they are saying it actually a foul on the GK #corruptfifa #WorldCup2022",negative
60,2022-11-20 16:12:19+00:00,1,Twitter for Android,"Qatar could win it with this VAR. If they can get out of their own half, there's a penalty on #WorldCup2022",positive
61,2022-11-20 16:12:59+00:00,1,Twitter Web App,My mum has been screaming at the TV since Ecuador got robbed. I can't imagine the noise if France or Portugal are playing soon 😂😂😂 #FIFAWorldCup #WorldCup2022,negative
62,2022-11-20 16:13:00+00:00,0,Twitter for iPhone,Eyo wtf just happened!?! How was Ecuador offside on that goal!? Nah VAR already being a joke. #WorldCup2022 #EcuadorvsQatar,negative
63,2022-11-20 16:13:07+00:00,1,Twitter for Android,Opening 5 minutes of #WorldCup2022 the prrfect snapshot of football fans worst fears - a half empty stadium (for the host's 1st game) &amp; a goal disallowed for no evident reason by #VAR #Terrible #TurningItOff,negative
64,2022-11-20 16:13:30+00:00,0,Twitter for iPhone,"Few teams ill be watching and supporting for world cup. Germany, France, Brazil, Argentina. Die Mannschaft and Les Blues since 2014. Supporting the asian teams as well Japan and Korea. Daehanminguk jajjak jajjak jjak! Tibe. #WorldCup2022",neutral
65,2022-11-20 16:13:35+00:00,0,Twitter for iPhone,How is Var going to give the penalty that Quatar win by if they can’t get into the Ecuador half…#WorldCup2022,negative
66,2022-11-20 16:14:01+00:00,6,Twitter Web App,If that goal really was ruled out for offside then the corruption is so obvious and FIFA has clearly told the refs that #Qatar cannot lose its opening match. SHOCKER. #WorldCup2022 #QatarEcuador,negative
67,2022-11-20 16:17:08+00:00,1,TweetDeck,"""This is scientific precision."" waitaminute.... ""This is bullshit."" there, I fixed it. #WorldCup2022 #EcuadorvsQatar #VAR",negative
68,2022-11-20 16:18:44+00:00,5,Twitter for iPhone,"How is this goal offside? VAR received a suitcase with money in it. It was incredibly corrupt. Usually they repost pictures of the offside, but not in this match!!! #WorldCup2022 #Qatar #Ecuador #FIFA #EcuadorvsQatar",negative
69,2022-11-20 16:19:15+00:00,1,Twitterrific for iOS,Try and take that one away with your corrupt VAR Qatar! Let’s go Ecuador!!!!! #WorldCup2022,negative
70,2022-11-20 16:19:28+00:00,3,Twitter Web App,First goal of #WorldCup2022 is an Ecuador penalty kick! 1-0 Ecuador v. Qatar. Ecuador looking like the better team by far.,positive
71,2022-11-20 16:19:52+00:00,1,Twitter for Android,So finally the first goal of #WorldCup2022 came thru penalty. Ecuador 1 - Qatar 0,neutral
72,2022-11-20 16:21:05+00:00,3,Twitter for iPhone,Qatar government officials chasing the referee after awarding Ecuador a penalty #FIFAWorldCup #WorldCup2022,neutral
73,2022-11-20 16:21:20+00:00,1,Twitter for iPhone,(15 Mins) Qatar 0-1 Ecuador. Enner Valencia scores the Penalty. A just score after VAR cancelled a perfectly good goal in the opening minutes for Ecuador. Not the ideal start for Qatar. #FIFAWorldCup2022 #QatarWorldCup2022 #Qatar2022 #QATECU #WorldCup2022,negative
74,2022-11-20 16:22:51+00:00,0,Twitter for Android,"There we have it, the first goal of the FIFA World Cup 2022 scored by Ecuador's Valencia on the 15th minute of the match! The goal came through a penalty kick. #WorldCup2022 #SaharaGames",positive
75,2022-11-20 16:22:53+00:00,1,Twitter for Android,#Ecuador scores the first goal of the 2022 #QatarWorldCup 😍 What a great match to watch as a neutral! #WorldCup ⚽️ #WorldCup2022,positive
76,2022-11-20 16:24:16+00:00,1,Twitter for Android,The ref trying to figure out how he can disallow a penalty he has just given #WorldCup #WorldCup2022 #Qatar2022 #QATECU #Qatar #Ecuador #fifa,neutral
77,2022-11-20 16:25:45+00:00,2,Twitter Web App,"So the Ecuador goal was ruled offside because of the players front leg, ok good decision albeit for the circled Qatari player. VAR is a joke!!!! #WorldCup #WorldCup2022 #Qatar2022 #Qatar #Ecuador 🇶🇦🇪🇨",negative
78,2022-11-20 16:26:22+00:00,0,Twitter for Android,"#EnnerValencia scores for #Ecuador against #Qatar in the first match of #WorldCup2022 during a penalty shot. #Valencia had first appeared to score within the first 3 minutes of the match, but VAR review showed that that the play was offsides. 2 #Qatari players given yellow cards.",neutral
79,2022-11-20 16:33:59+00:00,1,Twitter for Android,"After bribing referee, and try possible way to fix the match and deny the first goal, the justice has been served, Qatar 0 - 1 Equador ( #Valencia penalty). #WorldCup2022",neutral
80,2022-11-20 16:35:51+00:00,3,Twitter for iPhone,Goal! Ecuador!!! 3-0 (2-0 with VAR Ref who got paid off 1-0). Valencia!!! 🇪🇨 #WorldcupQatar2022 #WorldCup2022,positive
81,2022-11-20 16:42:47+00:00,1,Twitter for iPhone,"I literally hope Ecuador, Netherlands and Senegal humiliate Qatar on the football friend in Group A. #WorldCup2022 #Qatar2022",negative
82,2022-11-20 16:48:57+00:00,1,Twitter for iPhone,Goals in WC Enner Valencia; 2 Pessi; 0 Penaldo; 0 But I’m made to believe they’re goats 🐐 #FIFAWorldCup #Qatar2022 #WorldCup2022 #WorldCup #FIFAWorldCup2022 #ennervalencia𓃵 #Ronaldo𓃵 #Ronaldo #ronaldomessi #Messi𓃵 #Messi,positive
83,2022-11-20 16:52:31+00:00,1,Twitter Web App,The player from Ecuador 🇪🇨 Enner Valencia has scored the first goal of the #Qatar2022 World Cup against Qatar 🇶🇦 from the penalty spot. It is the first time in the history of the World Cups that the first goal is scored in this way. #WorldCup2022 #WorldCup #MundialQatar2022,neutral
84,2022-11-20 16:53:41+00:00,0,Twitter for iPhone,Is Qatar really playing today? I don’t think they have shot at goal once in the game ☹️ Ecuador doing their game and winning clearly as no opposition #WorldCup2022 #FIFAWorldCup,negative
85,2022-11-20 16:54:53+00:00,1,Twitter for Android,E. Valencia has already scored 2 goals at the 16th and 31st minutes of the game one goal being a penalty. Congratulations to Ecuador. They would most likely win the 1st match. #FIFAWorldCup #FIFAWorldCup2022 #Qatar2022 #WorldCup2022,positive
86,2022-11-20 16:57:53+00:00,2,Twitter Web App,"Fuck #Qatar, fuck #var and fuck #fifa #corruption . From the world, come on #Ecuador, smash them in the second half. #ennervalencia𓃵 #WorldCup #WorldCup2022 #Qatar2022",negative
87,2022-11-20 17:01:16+00:00,2,Twitter for Android,"Thus, the match referee and VAR referee decided that the Ecuadorian goal was offside. The bank accounts of the Qatar match referees should be monitored. #QatarWorldCup #WorldCup2022 #Ecuador",neutral
88,2022-11-20 17:01:32+00:00,0,Twitter Web App,Hard not to pick Brazil to win #WorldCup2022. Mane and Benzema missing hurts Senegal and France's chances. England is trending in the wrong direction. Serbia and Ghana are my dark horses. Did a bracket. #fun,negative
89,2022-11-20 17:11:13+00:00,0,Twitter for Android,VAR is killing the game of football. #QatarWorldCup2022 #WorldCup2022 #EcuadorvsQatar #ECUQAT,negative
90,2022-11-20 17:50:59+00:00,2,Twitter for Android,"At this very moment, the fate of the Qatar team has been determined. Ecuador didn't come to play. If buying goals was allowed, the host team would have been saved. #FIFAWorldCup #WorldCup2022 #WorldcupQatar2022 #WorldCup #hweneaokyere #ghanablackstars",negative
91,2022-11-20 18:27:42+00:00,0,Twitter for iPhone,Looking at the wall chart….France Belgium &amp; Brazil Argentina semi finals for me with an Argentina France final. Argentina to win it. #WorldCup #WorldCup2022 #QatarWorldCup2022 #qatar #WorldcupQatar2022,positive
92,2022-11-20 18:45:07+00:00,3,Twitter for Android,Disappointing result for the hosting side Qatar as they lose their opening match against Ecuador. Enner Valencia scored a brace as Ecuador overpowered Qatar on Sunday in World Cup Group A opener. #WorldCup2022 #FIFAWorldCupQatar2022 #BetNaBongobomgo,negative
93,2022-11-20 18:58:14+00:00,39,Twitter Web App,"⚽️Ecuador won the first match in #WorldCup2022 🥳Congrats to them! As well as our 8,000,000 $Bingo 🤩Winners for Goal Event!🎉 Due to there were no Player NFTs trigger Yellow Card and Red Card Events 7,000,000 $Bingo has been burnt #Tomorrowland #GameFi #FreeMint #BNBChain",positive
94,2022-11-20 19:27:52+00:00,1,Twitter for Android,Why am I getting this gut feeling that Senegal will go and lose to Ecuador after dropping all three points against Netherlands tomorrow? 😬😬😬 #WorldCup2022 #FIFAWorldCup #EndSARS,negative
95,2022-11-20 20:00:02+00:00,0,Buffer,So in my #WorldCup2022 pool I've got: Ecuador 🇪🇨 Australia 🇦🇺 France 🇫🇷 Spain 🇪🇸 Canada 🇨🇦 Croatia 🇭🇷 South Korea 🇰🇷 Uruguay 🇺🇾,neutral
96,2022-11-20 20:02:10+00:00,1,Metricool,Happy World Cup Day!!! Which of these soccer stars are going to score more goals in this upcoming World Cup? ⚽ 💥 Paradise Breaks with two absolute bangers 🔥🔥🔥 Mbappe' or Neymar? #worldcup2022 #worldcupqatar2022 #neymar #mbappe #worldcup #soccercards,positive
97,2022-11-20 21:59:31+00:00,13,Twitter Web App,"Germany vs Japan Live Stream, Live On:@LinkBoxing 🆚Germany vs Japan 🗓️Wednesday, November 23, 2022 ⏰1:00 PM GMT 🏟️Khalifa International Stadium, Doha, Qatar 🏆FIFA World Cup 2022 #Germany #FIFAWorldCup2022 #GermanyvsJapan #Qatar2022 #WorldCup2022 #Japan",neutral
98,2022-11-20 22:03:00+00:00,0,Twitter Web App,"What's in store on Day 2 of the #WorldCup2022? Check out our daily round-up piece to view all of the best bets, tips and odds for the England vs Iran, Senegal vs Netherlands, and USA vs Wales games ⚽️ BeGambleAware +18",neutral
99,2022-11-20 22:43:02+00:00,6,Twitter for Android,The historic match between Germany and Brazil. I remember a night where many Brazilian fans cried. Do you remember this night? #Worlds2022 #WorldCup2022 #Qatar2022 #Qatar #QatarWorldCup2022 #Cup #FIFAWorldCup #FIFAWorldCup2022,positive
100,2022-11-20 22:57:00+00:00,0,Twitter Web App,🏆World Cup 2022🏆 Today’s Matches: 🔸England vs Iran 🔸Senegal vs Netherlands 🔸USA vs Wales Who will take the lead in Groups A &amp; B?🤔 #WorldCup2022 #WorldcupQatar2022,neutral
